usage,brand,type,model,year,price
Commercial,DAIHATSU,GRAN MAX PU,1.3 + MOKO,2015,75000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 + MOKO,2016,80000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 + MOKO,2017,85000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 + MOKO,2018,90000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 + MOKO,2019,100000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 + MOKO,2020,105000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 + MOKO,2021,115000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 + MOKO,2022,125000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3 WAY,2015,75000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3 WAY,2016,80000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3 WAY,2017,85000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3 WAY,2018,90000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3 WAY,2019,100000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3 WAY,2020,105000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3 WAY,2021,120000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3 WAY,2022,130000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3 WAY MOKO HIROOF,2015,75000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3 WAY MOKO HIROOF,2016,80000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3 WAY MOKO HIROOF,2017,85000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3 WAY MOKO HIROOF,2018,90000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3 WAY MOKO HIROOF,2019,100000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3 WAY MOKO HIROOF,2020,105000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3 WAY MOKO HIROOF,2021,120000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3 WAY MOKO HIROOF,2022,130000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3W FH E4,2021,90000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3W FH E4,2022,105000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3W FH E4,2023,120000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 3W FH E4,2024,140000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 AC STD,2015,75000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 AC STD,2016,80000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 AC STD,2017,85000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 AC STD,2018,90000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 AC STD,2019,95000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 AC STD,2020,100000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 AC STD,2021,105000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 AC STD,2022,110000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 AC STD,2023,115000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 BOX,2015,80000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 BOX,2016,85000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 BOX,2017,90000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 BOX,2018,95000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 BOX,2019,100000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 BOX,2020,105000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 BOX,2021,110000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 BOX,2022,115000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 BOX,2023,120000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 BOX,2024,125000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 BOX,2025,135000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 D FF AMBULACE,2015,85000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 D FF AMBULACE,2016,90000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 D FF AMBULACE,2017,100000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 D FF AMBULACE,2018,105000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 D FF AMBULACE,2019,110000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 D FF AMBULACE,2020,120000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 D FF AMBULACE,2021,115000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 D FF AMBULACE,2022,125000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 D FF AMBULACE,2023,130000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 D FH E4,2022,110000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 FH E4,2015,75000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 FH E4,2016,80000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 FH E4,2017,90000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 FH E4,2018,95000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 FH E4,2019,100000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 FH E4,2020,105000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 FH E4,2021,110000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 FH E4,2022,115000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 FH E4,2023,120000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 FH E4,2024,130000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 PICK UP 3 AWAY,2015,75000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 PICK UP 3 AWAY,2016,80000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 PICK UP 3 AWAY,2017,85000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 PICK UP 3 AWAY,2018,90000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 PICK UP 3 AWAY,2019,100000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 PICK UP 3 AWAY,2020,105000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 PICK UP 3 AWAY,2021,120000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 PICK UP 3 AWAY,2022,130000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 SLIDING RD FH,2023,110000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 STD,2015,70000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 STD,2016,75000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 STD,2017,80000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 STD,2018,85000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 STD,2019,90000026
Commercial,DAIHATSU,GRAN MAX PU,1.3 STD,2020,95000026
